Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Booking,,,,13-02-2024 15:16:03,13-02-2024 15:16:07,4.270s,PASSED
,,,,,,,
Test Cases/GetBooking,,,,13-02-2024 15:16:03,13-02-2024 15:16:07,4.205s,PASSED
"response = sendRequest(findTestObject(""GetBooking""))",,,,13-02-2024 15:16:03,13-02-2024 15:16:05,1.832s,PASSED
"verifyResponseStatusCode(response, 200)",,,,13-02-2024 15:16:05,13-02-2024 15:16:05,0.010s,PASSED
